Sex,DVRT,Educational_level,Prestige_score,Type_school
0,89.0,7.0,0.0,0
0,100.0,0.0,14.0,1
0,111.0,10.0,0.0,1
1,109.0,0.0,18.0,1
0,93.0,10.0,6.0,1
0,90.0,10.0,8.0,1
0,97.0,10.0,19.0,1
0,98.0,5.0,5.0,1
1,115.0,,24.0,1
1,125.0,0.0,26.0,1
1,90.0,7.0,0.0,0
0,93.0,10.0,8.0,1
0,114.0,10.0,2.0,1
0,104.0,10.0,9.0,1
0,83.0,5.0,8.0,1
0,94.0,7.0,9.0,0
1,137.0,0.0,21.0,1
1,123.0,10.0,13.0,1
1,89.0,9.0,2.0,2
0,105.0,10.0,0.0,1
1,134.0,1.0,21.0,1
1,136.0,0.0,20.0,1
1,87.0,10.0,10.0,1
0,91.0,10.0,8.0,1
0,70.0,7.0,0.0,0
1,123.0,9.0,7.0,2
1,132.0,0.0,8.0,1
0,78.0,10.0,0.0,1
0,99.0,5.0,9.0,1
0,94.0,10.0,0.0,1
1,126.0,6.0,16.0,2
0,90.0,10.0,19.0,1
0,92.0,3.0,0.0,1
1,101.0,5.0,6.0,1
1,110.0,10.0,25.0,1
0,94.0,7.0,19.0,0
0,92.0,4.0,2.0,2
0,103.0,5.0,12.0,1
0,101.0,10.0,24.0,1
1,107.0,,12.0,1
0,81.0,10.0,8.0,1
0,97.0,3.0,13.0,1
0,120.0,0.0,8.0,1
0,70.0,4.0,0.0,2
1,70.0,6.0,16.0,2
0,91.0,5.0,3.0,1
1,113.0,3.0,2.0,1
1,84.0,6.0,0.0,2
0,99.0,6.0,8.0,2
1,114.0,10.0,,1
0,99.0,5.0,20.0,1
1,101.0,3.0,2.0,1
0,70.0,7.0,0.0,0
0,96.0,10.0,9.0,1
0,94.0,5.0,8.0,1
1,72.0,4.0,12.0,2
1,126.0,4.0,20.0,2
1,90.0,6.0,2.0,2
0,105.0,10.0,0.0,1
0,117.0,10.0,12.0,1
1,131.0,10.0,3.0,1
1,102.0,6.0,8.0,2
1,79.0,8.0,20.0,1
0,127.0,10.0,19.0,1
0,115.0,10.0,18.0,1
1,110.0,9.0,1.0,2
1,108.0,10.0,26.0,1
1,121.0,10.0,10.0,1
1,108.0,0.0,8.0,1
0,118.0,10.0,8.0,1
0,84.0,10.0,0.0,1
0,101.0,10.0,,1
1,81.0,10.0,19.0,1
1,84.0,4.0,10.0,2
1,83.0,6.0,0.0,2
1,70.0,6.0,19.0,2
1,102.0,4.0,0.0,2
0,123.0,8.0,6.0,1
0,104.0,10.0,0.0,1
1,119.0,1.0,25.0,1
1,95.0,10.0,12.0,1
0,99.0,5.0,18.0,1
1,123.0,10.0,23.0,1
1,98.0,7.0,2.0,0
1,108.0,6.0,9.0,2
0,119.0,10.0,18.0,1
1,99.0,10.0,8.0,2
0,102.0,6.0,0.0,2
1,106.0,6.0,8.0,2
1,70.0,4.0,8.0,2
0,85.0,8.0,6.0,1
1,121.0,1.0,8.0,1
0,108.0,0.0,8.0,1
0,99.0,5.0,8.0,1
0,107.0,0.0,20.0,1
0,114.0,0.0,,1
0,94.0,3.0,16.0,1
0,107.0,10.0,10.0,1
0,114.0,10.0,10.0,1
1,83.0,6.0,12.0,2
1,107.0,10.0,8.0,1
1,127.0,0.0,10.0,1
1,107.0,10.0,2.0,1
1,96.0,5.0,2.0,1
0,111.0,10.0,18.0,1
1,70.0,7.0,0.0,0
1,109.0,10.0,,1
1,103.0,4.0,4.0,2
0,111.0,10.0,19.0,1
0,70.0,7.0,0.0,0
0,104.0,10.0,,1
0,73.0,10.0,6.0,1
0,93.0,6.0,0.0,2
1,88.0,0.0,,1
1,129.0,0.0,12.0,1
1,99.0,6.0,0.0,2
1,74.0,6.0,8.0,2
1,92.0,5.0,8.0,1
0,101.0,5.0,9.0,1
1,123.0,10.0,6.0,1
0,92.0,4.0,0.0,2
1,120.0,0.0,12.0,1
1,95.0,10.0,8.0,1
1,85.0,10.0,8.0,1
1,106.0,10.0,18.0,1
1,107.0,10.0,27.0,1
0,70.0,6.0,4.0,2
0,105.0,3.0,18.0,1
0,109.0,5.0,2.0,1
0,100.0,10.0,18.0,1
1,100.0,6.0,6.0,2
0,86.0,6.0,10.0,2
1,129.0,5.0,0.0,1
1,109.0,5.0,8.0,1
0,110.0,10.0,10.0,1
1,112.0,3.0,0.0,1
0,102.0,6.0,11.0,2
1,112.0,10.0,12.0,1
1,95.0,3.0,12.0,1
1,101.0,10.0,20.0,1
1,117.0,10.0,,1
0,88.0,10.0,8.0,1
0,120.0,0.0,10.0,1
0,83.0,7.0,2.0,0
1,88.0,4.0,19.0,2
1,100.0,9.0,8.0,2
1,117.0,10.0,11.0,1
0,86.0,4.0,0.0,2
1,109.0,,12.0,1
0,111.0,8.0,8.0,1
1,85.0,6.0,2.0,2
0,100.0,3.0,0.0,1
1,126.0,0.0,1.0,1
1,108.0,6.0,25.0,2
1,125.0,0.0,4.0,1
0,93.0,10.0,9.0,1
1,121.0,5.0,18.0,1
0,97.0,4.0,0.0,2
0,81.0,4.0,0.0,2
1,100.0,6.0,12.0,2
0,111.0,5.0,16.0,1
1,96.0,5.0,8.0,1
0,105.0,5.0,2.0,1
1,103.0,5.0,,1
1,93.0,10.0,16.0,1
1,122.0,10.0,21.0,1
1,106.0,0.0,11.0,1
1,98.0,4.0,12.0,2
0,93.0,10.0,25.0,1
0,106.0,6.0,2.0,2
1,127.0,10.0,12.0,1
1,116.0,10.0,27.0,1
1,130.0,9.0,,2
0,97.0,4.0,7.0,2
0,107.0,3.0,0.0,1
1,97.0,0.0,10.0,1
0,117.0,0.0,18.0,1
1,103.0,10.0,2.0,2
1,116.0,,0.0,1
0,102.0,10.0,12.0,1
0,112.0,4.0,8.0,2
0,99.0,0.0,8.0,1
0,96.0,5.0,2.0,1
1,88.0,6.0,8.0,2
0,114.0,10.0,27.0,1
1,107.0,10.0,10.0,1
0,84.0,5.0,8.0,1
1,104.0,5.0,12.0,1
0,91.0,4.0,0.0,2
1,99.0,10.0,0.0,1
1,140.0,0.0,26.0,1
0,100.0,10.0,8.0,1
0,90.0,3.0,8.0,1
1,80.0,7.0,19.0,0
0,109.0,10.0,12.0,1
1,99.0,3.0,12.0,1
1,103.0,7.0,12.0,0
0,108.0,10.0,1.0,1
1,113.0,0.0,20.0,1
0,103.0,0.0,2.0,1
1,121.0,10.0,8.0,1
0,115.0,3.0,7.0,1
1,70.0,7.0,0.0,0
1,86.0,4.0,0.0,2
1,71.0,9.0,10.0,2
0,92.0,6.0,8.0,2
1,114.0,10.0,8.0,1
0,100.0,5.0,21.0,1
1,119.0,0.0,26.0,1
0,116.0,10.0,0.0,1
1,90.0,5.0,8.0,1
0,105.0,6.0,13.0,2
1,76.0,4.0,,2
1,70.0,7.0,19.0,0
1,88.0,4.0,12.0,2
0,81.0,10.0,8.0,1
0,107.0,3.0,18.0,1
1,104.0,10.0,20.0,1
0,94.0,3.0,2.0,1
1,103.0,10.0,8.0,1
0,91.0,7.0,0.0,0
1,70.0,7.0,19.0,0
1,123.0,3.0,12.0,1
0,103.0,10.0,9.0,1
0,122.0,0.0,9.0,1
0,86.0,6.0,8.0,2
1,96.0,6.0,0.0,2
0,100.0,10.0,4.0,1
1,84.0,4.0,20.0,2
1,97.0,5.0,6.0,1
0,111.0,5.0,,1
0,106.0,4.0,,2
1,109.0,4.0,0.0,2
1,84.0,7.0,,0
0,115.0,10.0,6.0,1
0,93.0,10.0,12.0,1
0,100.0,6.0,1.0,2
1,90.0,9.0,12.0,2
1,115.0,10.0,1.0,1
1,103.0,10.0,12.0,1
0,103.0,0.0,8.0,1
0,105.0,10.0,0.0,2
1,92.0,9.0,9.0,2
1,88.0,6.0,2.0,2
0,98.0,5.0,8.0,1
0,86.0,5.0,2.0,1
0,103.0,10.0,3.0,1
1,124.0,10.0,21.0,1
1,110.0,9.0,8.0,2
1,80.0,6.0,23.0,2
1,125.0,10.0,0.0,1
1,103.0,10.0,12.0,1
1,122.0,10.0,10.0,1
0,77.0,7.0,,0
1,114.0,10.0,8.0,1
0,104.0,3.0,8.0,1
1,95.0,10.0,12.0,1
0,70.0,8.0,8.0,1
1,113.0,6.0,,2
1,106.0,10.0,27.0,1
1,104.0,9.0,10.0,2
0,123.0,5.0,2.0,1
0,100.0,10.0,18.0,1
0,104.0,5.0,22.0,1
1,70.0,5.0,19.0,1
1,96.0,3.0,0.0,1
0,93.0,6.0,8.0,2
0,97.0,5.0,0.0,1
0,106.0,6.0,0.0,2
0,88.0,3.0,18.0,1
0,102.0,5.0,0.0,1
0,109.0,10.0,19.0,1
1,109.0,10.0,18.0,1
1,104.0,10.0,8.0,1
1,101.0,10.0,6.0,1
0,102.0,10.0,10.0,1
0,95.0,0.0,8.0,1
0,97.0,10.0,8.0,1
1,90.0,4.0,19.0,2
0,94.0,6.0,12.0,2
1,78.0,10.0,19.0,2
0,78.0,10.0,13.0,1
0,70.0,6.0,6.0,2
0,86.0,7.0,,0
0,72.0,10.0,0.0,1
0,104.0,10.0,0.0,1
1,107.0,3.0,19.0,1
1,120.0,,27.0,1
0,91.0,0.0,19.0,1
1,108.0,6.0,,2
0,101.0,5.0,0.0,1
1,87.0,10.0,0.0,1
0,104.0,9.0,8.0,2
0,114.0,1.0,18.0,1
0,106.0,6.0,,2
1,105.0,8.0,18.0,1
1,99.0,6.0,6.0,2
0,112.0,0.0,21.0,1
0,122.0,6.0,0.0,2
0,127.0,10.0,21.0,1
0,86.0,10.0,8.0,1
1,90.0,10.0,19.0,1
1,102.0,3.0,0.0,1
1,104.0,1.0,25.0,1
0,75.0,4.0,2.0,2
0,89.0,5.0,0.0,1
1,98.0,4.0,2.0,2
1,114.0,10.0,20.0,1
