dataset,method,classifier,concatenation,num_trees,num_examples,description,max_tree_depth,temperature,split,iter,accuracy,f1_score
acl,gpt-4o,mlp,True,1,1,False,0,1,33/67,0,0.5,0.28125
acl,gpt-4o,mlp,True,1,1,False,0,1,33/67,1,0.5,0.3235294117647059
acl,gpt-4o,mlp,True,1,1,False,0,1,33/67,2,0.5,0.3235294117647059
acl,gpt-4o,mlp,True,1,1,False,0,1,33/67,3,0.5,0.28125
acl,gpt-4o,mlp,True,1,1,False,0,1,33/67,4,0.2807692307692307,0.2698412698412698
acl,gpt-4o,mlp,True,1,1,False,0,1,50/50,0,0.5138888888888888,0.4848484848484848
acl,gpt-4o,mlp,True,1,1,False,0,1,50/50,1,0.5,0.2916666666666667
acl,gpt-4o,mlp,True,1,1,False,0,1,50/50,2,0.5142857142857142,0.5142857142857142
acl,gpt-4o,mlp,True,1,1,False,0,1,50/50,3,0.5,0.3703703703703703
acl,gpt-4o,mlp,True,1,1,False,0,1,50/50,4,0.5,0.3461538461538461
acl,gpt-4o,mlp,True,1,1,False,0,1,67/33,0,0.5,0.2941176470588235
acl,gpt-4o,mlp,True,1,1,False,0,1,67/33,1,0.7142857142857143,0.6571428571428571
acl,gpt-4o,mlp,True,1,1,False,0,1,67/33,2,0.5,0.4857142857142857
acl,gpt-4o,mlp,True,1,1,False,0,1,67/33,3,0.5625,0.5555555555555556
acl,gpt-4o,mlp,True,1,1,False,0,1,67/33,4,0.7285714285714285,0.7333333333333334
acl,gpt-4o,mlp,True,2,1,False,0,1,33/67,0,0.6904761904761905,0.6861598440545809
acl,gpt-4o,mlp,True,2,1,False,0,1,33/67,1,0.5,0.3235294117647059
acl,gpt-4o,mlp,True,2,1,False,0,1,33/67,2,0.5,0.3235294117647059
acl,gpt-4o,mlp,True,2,1,False,0,1,33/67,3,0.5833333333333333,0.5643939393939394
acl,gpt-4o,mlp,True,2,1,False,0,1,33/67,4,0.5,0.3611111111111111
acl,gpt-4o,mlp,True,2,1,False,0,1,50/50,0,0.6388888888888888,0.6357142857142857
acl,gpt-4o,mlp,True,2,1,False,0,1,50/50,1,0.5,0.2916666666666667
acl,gpt-4o,mlp,True,2,1,False,0,1,50/50,2,0.6071428571428572,0.5882352941176471
acl,gpt-4o,mlp,True,2,1,False,0,1,50/50,3,0.6071428571428572,0.5882352941176471
acl,gpt-4o,mlp,True,2,1,False,0,1,50/50,4,0.5,0.3461538461538461
acl,gpt-4o,mlp,True,2,1,False,0,1,67/33,0,0.6428571428571428,0.5555555555555556
acl,gpt-4o,mlp,True,2,1,False,0,1,67/33,1,0.7857142857142857,0.7482517482517483
acl,gpt-4o,mlp,True,2,1,False,0,1,67/33,2,0.5,0.25
acl,gpt-4o,mlp,True,2,1,False,0,1,67/33,3,0.6875,0.6571428571428571
acl,gpt-4o,mlp,True,2,1,False,0,1,67/33,4,0.5,0.3684210526315789
acl,gpt-4o,mlp,True,3,1,False,0,1,33/67,0,0.5833333333333333,0.5643939393939394
acl,gpt-4o,mlp,True,3,1,False,0,1,33/67,1,0.5,0.3235294117647059
acl,gpt-4o,mlp,True,3,1,False,0,1,33/67,2,0.5,0.3235294117647059
acl,gpt-4o,mlp,True,3,1,False,0,1,33/67,3,0.5,0.28125
acl,gpt-4o,mlp,True,3,1,False,0,1,33/67,4,0.5192307692307692,0.5180952380952382
acl,gpt-4o,mlp,True,3,1,False,0,1,50/50,0,0.6319444444444444,0.6136363636363636
acl,gpt-4o,mlp,True,3,1,False,0,1,50/50,1,0.5,0.2916666666666667
acl,gpt-4o,mlp,True,3,1,False,0,1,50/50,2,0.5857142857142856,0.5824561403508772
acl,gpt-4o,mlp,True,3,1,False,0,1,50/50,3,0.5,0.3703703703703703
acl,gpt-4o,mlp,True,3,1,False,0,1,50/50,4,0.5,0.3461538461538461
acl,gpt-4o,mlp,True,3,1,False,0,1,67/33,0,0.6428571428571428,0.5555555555555556
acl,gpt-4o,mlp,True,3,1,False,0,1,67/33,1,0.6428571428571428,0.5555555555555556
acl,gpt-4o,mlp,True,3,1,False,0,1,67/33,2,0.5625,0.3777777777777777
acl,gpt-4o,mlp,True,3,1,False,0,1,67/33,3,0.625,0.5804195804195804
acl,gpt-4o,mlp,True,3,1,False,0,1,67/33,4,0.7571428571428571,0.7482517482517483
acl,gpt-4o,mlp,True,4,1,False,0,1,33/67,0,0.6190476190476191,0.6057142857142856
acl,gpt-4o,mlp,True,4,1,False,0,1,33/67,1,0.4545454545454545,0.303030303030303
