dataset,method,num_trees,iter,decision_tree,description,num_examples,max_tree_depth,temperature,split,accuracy,f1_score
acl,gpt-4o,5,0,True,False,1,2,0,33/67,0.5,0.28125
acl,gpt-4o,5,1,True,False,1,2,0,33/67,0.4015151515151515,0.3611111111111111
acl,gpt-4o,5,2,True,False,1,2,0,33/67,0.5,0.34285714285714286
acl,gpt-4o,5,3,True,False,1,2,0,33/67,0.4642857142857143,0.3611111111111111
acl,gpt-4o,5,4,True,False,1,2,0,33/67,0.35384615384615387,0.34782608695652173
acl,gpt-4o,5,0,True,False,1,2,0,50/50,0.5,0.32
acl,gpt-4o,5,1,True,False,1,2,0,50/50,0.3357142857142857,0.27142857142857146
acl,gpt-4o,5,2,True,False,1,2,0,50/50,0.5,0.2916666666666667
acl,gpt-4o,5,3,True,False,1,2,0,50/50,0.45,0.34615384615384615
acl,gpt-4o,5,4,True,False,1,2,0,50/50,0.2986111111111111,0.29166666666666663
acl,gpt-4o,5,0,True,False,1,2,0,67/33,0.5,0.3684210526315789
acl,gpt-4o,5,1,True,False,1,2,0,67/33,0.27142857142857146,0.24475524475524477
acl,gpt-4o,5,2,True,False,1,2,0,67/33,0.5,0.25
acl,gpt-4o,5,3,True,False,1,2,0,67/33,0.4375,0.3684210526315789
acl,gpt-4o,5,4,True,False,1,2,0,67/33,0.34285714285714286,0.3333333333333333
acl,gpt-4o,5,0,True,False,1,2,0.5,33/67,0.5,0.28125
acl,gpt-4o,5,1,True,False,1,2,0.5,33/67,0.5,0.34285714285714286
acl,gpt-4o,5,2,True,False,1,2,0.5,33/67,0.5,0.34285714285714286
acl,gpt-4o,5,3,True,False,1,2,0.5,33/67,0.5,0.28125
acl,gpt-4o,5,4,True,False,1,2,0.5,33/67,0.35384615384615387,0.34782608695652173
acl,gpt-4o,5,0,True,False,1,2,0.5,50/50,0.5,0.32
acl,gpt-4o,5,1,True,False,1,2,0.5,50/50,0.5,0.37037037037037035
acl,gpt-4o,5,2,True,False,1,2,0.5,50/50,0.5,0.2916666666666667
acl,gpt-4o,5,3,True,False,1,2,0.5,50/50,0.5,0.2916666666666667
acl,gpt-4o,5,4,True,False,1,2,0.5,50/50,0.2986111111111111,0.29166666666666663
acl,gpt-4o,5,0,True,False,1,2,0.5,67/33,0.5,0.3684210526315789
acl,gpt-4o,5,1,True,False,1,2,0.5,67/33,0.5,0.3684210526315789
acl,gpt-4o,5,2,True,False,1,2,0.5,67/33,0.5,0.25
acl,gpt-4o,5,3,True,False,1,2,0.5,67/33,0.5,0.25
acl,gpt-4o,5,4,True,False,1,2,0.5,67/33,0.34285714285714286,0.3333333333333333
acl,gpt-4o,5,0,True,False,1,2,1,33/67,0.6071428571428571,0.486815415821501
acl,gpt-4o,5,1,True,False,1,2,1,33/67,0.6931818181818181,0.6933333333333334
acl,gpt-4o,5,2,True,False,1,2,1,33/67,0.4318181818181818,0.43047619047619046
acl,gpt-4o,5,3,True,False,1,2,1,33/67,0.7658730158730158,0.7386363636363636
acl,gpt-4o,5,4,True,False,1,2,1,33/67,0.8346153846153846,0.8257575757575758
