dataset,method,concatenation,num_trees,num_examples,description,max_tree_depth,temperature,split,iter,accuracy,f1_score
acl,gpt-4o,False,5,1,False,0,1,33/67,0,0.6547619047619048,0.6461538461538461
acl,gpt-4o,False,5,1,False,0,1,33/67,1,0.4507575757575758,0.35698924731182796
acl,gpt-4o,False,5,1,False,0,1,33/67,2,0.6136363636363636,0.6057142857142856
acl,gpt-4o,False,5,1,False,0,1,33/67,3,0.5,0.28125
acl,gpt-4o,False,5,1,False,0,1,33/67,4,0.5423076923076923,0.5180952380952382
acl,gpt-4o,False,5,1,False,0,1,50/50,0,0.7013888888888888,0.7017543859649122
acl,gpt-4o,False,5,1,False,0,1,50/50,1,0.3857142857142857,0.343859649122807
acl,gpt-4o,False,5,1,False,0,1,50/50,2,0.6571428571428571,0.6458333333333333
acl,gpt-4o,False,5,1,False,0,1,50/50,3,0.7785714285714285,0.7638888888888888
acl,gpt-4o,False,5,1,False,0,1,50/50,4,0.7569444444444444,0.7571428571428571
acl,gpt-4o,False,5,1,False,0,1,67/33,0,0.5,0.29411764705882354
acl,gpt-4o,False,5,1,False,0,1,67/33,1,0.6571428571428571,0.6571428571428571
acl,gpt-4o,False,5,1,False,0,1,67/33,2,0.8125,0.7482517482517483
acl,gpt-4o,False,5,1,False,0,1,67/33,3,0.6875,0.6571428571428571
acl,gpt-4o,False,5,1,False,0,1,67/33,4,0.8285714285714285,0.8285714285714285
acl,gpt-4o,True,5,1,False,0,1,33/67,0,0.6547619047619048,0.6461538461538461
acl,gpt-4o,True,5,1,False,0,1,33/67,1,0.5,0.3235294117647059
acl,gpt-4o,True,5,1,False,0,1,33/67,2,0.5,0.3235294117647059
acl,gpt-4o,True,5,1,False,0,1,33/67,3,0.6587301587301587,0.6057142857142856
acl,gpt-4o,True,5,1,False,0,1,33/67,4,0.4807692307692308,0.4772727272727273
acl,gpt-4o,True,5,1,False,0,1,50/50,0,0.6388888888888888,0.6357142857142857
acl,gpt-4o,True,5,1,False,0,1,50/50,1,0.55,0.3952569169960475
acl,gpt-4o,True,5,1,False,0,1,50/50,2,0.5857142857142856,0.5824561403508772
acl,gpt-4o,True,5,1,False,0,1,50/50,3,0.6571428571428571,0.6458333333333333
acl,gpt-4o,True,5,1,False,0,1,50/50,4,0.5,0.34615384615384615
acl,gpt-4o,True,5,1,False,0,1,67/33,0,0.7857142857142857,0.7482517482517483
acl,gpt-4o,True,5,1,False,0,1,67/33,1,0.6142857142857143,0.5804195804195804
acl,gpt-4o,True,5,1,False,0,1,67/33,2,0.5625,0.5555555555555556
acl,gpt-4o,True,5,1,False,0,1,67/33,3,0.625,0.5804195804195804
acl,gpt-4o,True,5,1,False,0,1,67/33,4,0.7571428571428571,0.7482517482517483
acl,gpt-o1,False,5,1,False,0,1,33/67,0,0.6547619047619048,0.6461538461538461
acl,gpt-o1,False,5,1,False,0,1,33/67,1,0.5265151515151515,0.5180952380952382
acl,gpt-o1,False,5,1,False,0,1,33/67,2,0.625,0.5548387096774194
acl,gpt-o1,False,5,1,False,0,1,33/67,3,0.7301587301587301,0.6956521739130435
acl,gpt-o1,False,5,1,False,0,1,33/67,4,0.5,0.3611111111111111
acl,gpt-o1,False,5,1,False,0,1,50/50,0,0.6388888888888888,0.6357142857142857
acl,gpt-o1,False,5,1,False,0,1,50/50,1,0.6071428571428572,0.5882352941176471
acl,gpt-o1,False,5,1,False,0,1,50/50,2,0.5857142857142856,0.5824561403508772
acl,gpt-o1,False,5,1,False,0,1,50/50,3,0.47857142857142854,0.356060606060606
acl,gpt-o1,False,5,1,False,0,1,50/50,4,0.6875,0.6640316205533596
acl,gpt-o1,False,5,1,False,0,1,67/33,0,0.6857142857142857,0.6666666666666666
acl,gpt-o1,False,5,1,False,0,1,67/33,1,0.5142857142857142,0.5
acl,gpt-o1,False,5,1,False,0,1,67/33,2,0.75,0.7333333333333334
acl,gpt-o1,False,5,1,False,0,1,67/33,3,0.6875,0.6571428571428571
