Dataset,Features set size,claude,gemini,gpt-4o,gpt-o1,llama3.1:70b,gemma3:27b,deepseek-r1:70b,qwq:32b-fp16
bankruptcy,6,18,10,10,13,19,27,18,25
boxing1,3,16,11,10,14,24,26,24,25
boxing2,3,17,10,17,11,25,26,21,23
creditscore,6,19,11,10,21,47,32,31,25
japansolvent,9,23,21,27,14,21,28,17,24
colic,22,20,35,30,22,26,39,30,25
heart_h,13,30,10,10,23,28,31,27,25
hepatitis,19,18,23,15,17,23,33,22,25
house_votes_84,16,18,14,21,18,18,31,17,23
irish,5,15,10,10,10,26,28,21,24
labor,16,25,10,10,16,44,31,30,25
penguins,6,10,10,11,14,22,21,16,25
vote,16,13,17,22,12,22,31,16,21
