dataset,method,num_trees,split,iter,accuracy,f1_score
bankruptcy,no,5,33/67,0,0.8157894736842105,0.7925021795989537
bankruptcy,no,5,33/67,1,0.8333333333333333,0.8210526315789474
bankruptcy,no,5,33/67,2,0.880701754385965,0.880701754385965
bankruptcy,no,5,33/67,3,0.8214285714285714,0.8357487922705313
bankruptcy,no,5,33/67,4,0.7210526315789474,0.7235772357723578
bankruptcy,no,5,50/50,0,0.85,0.8663101604278074
bankruptcy,no,5,50/50,1,0.9166666666666667,0.9188311688311688
bankruptcy,no,5,50/50,2,0.8888888888888888,0.9080882352941176
bankruptcy,no,5,50/50,3,0.5487012987012987,0.548440065681445
bankruptcy,no,5,50/50,4,0.8166666666666667,0.8263888888888888
bankruptcy,no,5,67/33,0,0.8636363636363636,0.8210526315789474
bankruptcy,no,5,67/33,1,0.9375,0.9403508771929825
bankruptcy,no,5,67/33,2,0.8712121212121212,0.8712121212121212
bankruptcy,no,5,67/33,3,0.7857142857142857,0.7984189723320159
bankruptcy,no,5,67/33,4,0.6597222222222222,0.6357142857142857
bankruptcy,claude,5,33/67,0,0.8157894736842105,0.7925021795989537
bankruptcy,claude,5,33/67,1,0.7361111111111112,0.7350649350649351
bankruptcy,claude,5,33/67,2,0.887719298245614,0.8819444444444444
bankruptcy,claude,5,33/67,3,0.8392857142857143,0.8229166666666667
bankruptcy,claude,5,33/67,4,0.8403508771929824,0.8464317976513098
bankruptcy,claude,5,50/50,0,0.85,0.8663101604278074
bankruptcy,claude,5,50/50,1,0.7596153846153846,0.7596153846153846
bankruptcy,claude,5,50/50,2,0.8576388888888888,0.8663101604278074
bankruptcy,claude,5,50/50,3,0.8116883116883117,0.8
bankruptcy,claude,5,50/50,4,0.7666666666666666,0.7771836007130125
bankruptcy,claude,5,67/33,0,0.8333333333333333,0.8583333333333334
bankruptcy,claude,5,67/33,1,0.9444444444444444,0.9411764705882353
bankruptcy,claude,5,67/33,2,0.8712121212121212,0.8712121212121212
bankruptcy,claude,5,67/33,3,0.8785714285714286,0.8785714285714286
bankruptcy,claude,5,67/33,4,0.7152777777777778,0.7017543859649122
bankruptcy,gemini,5,33/67,0,0.8421052631578947,0.8229166666666667
bankruptcy,gemini,5,33/67,1,0.8263888888888888,0.8235294117647058
bankruptcy,gemini,5,33/67,2,0.8614035087719298,0.8528138528138528
bankruptcy,gemini,5,33/67,3,0.8392857142857143,0.8229166666666667
bankruptcy,gemini,5,33/67,4,0.8403508771929824,0.8464317976513098
bankruptcy,gemini,5,50/50,0,0.8833333333333333,0.8768472906403941
bankruptcy,gemini,5,50/50,1,0.875,0.8768472906403941
bankruptcy,gemini,5,50/50,2,0.8576388888888888,0.8663101604278074
bankruptcy,gemini,5,50/50,3,0.8116883116883117,0.8
bankruptcy,gemini,5,50/50,4,0.7666666666666666,0.7771836007130125
bankruptcy,gemini,5,67/33,0,0.8333333333333333,0.8583333333333334
bankruptcy,gemini,5,67/33,1,0.9444444444444444,0.9411764705882353
bankruptcy,gemini,5,67/33,2,0.8712121212121212,0.8712121212121212
bankruptcy,gemini,5,67/33,3,0.7285714285714285,0.7058823529411765
bankruptcy,gemini,5,67/33,4,0.7152777777777778,0.7017543859649122
bankruptcy,gpt-4o,5,33/67,0,0.868421052631579,0.8528138528138528
bankruptcy,gpt-4o,5,33/67,1,0.8333333333333333,0.8210526315789474
bankruptcy,gpt-4o,5,33/67,2,0.9333333333333333,0.9392857142857143
bankruptcy,gpt-4o,5,33/67,3,0.8142857142857143,0.793939393939394
bankruptcy,gpt-4o,5,33/67,4,0.8403508771929824,0.8464317976513098
bankruptcy,gpt-4o,5,50/50,0,0.8666666666666667,0.8726655348047538
bankruptcy,gpt-4o,5,50/50,1,0.8782051282051282,0.8792270531400965
bankruptcy,gpt-4o,5,50/50,2,0.8576388888888888,0.8663101604278074
bankruptcy,gpt-4o,5,50/50,3,0.8116883116883117,0.8
bankruptcy,gpt-4o,5,50/50,4,0.7666666666666666,0.7771836007130125
