+-------------------------------------------------------------------------------------------------------------------+
|                                            Embedding Results (Accuracy)                                           |
+----------------+------+--------+--------+--------+--------+-------+-------+-------+-------+-------+-------+-------+
|    Dataset     |  no  | claude | gemini | gpt-4o | gpt-o1 | rt-us | et-ss | rf-ss | xg-ss | et-sv | rf-sv | xg-sv |
+----------------+------+--------+--------+--------+--------+-------+-------+-------+-------+-------+-------+-------+
|      acl       | 0.50 |  0.00  |  0.00  | +0.11  | +0.09  | +0.04 |  0.00 |  0.00 |  0.00 | +0.06 | +0.07 | +0.08 |
|   bankruptcy   | 0.79 | +0.05  | +0.07  | +0.07  | +0.07  | +0.00 | +0.02 | +0.02 | +0.03 |  0.00 | +0.00 | +0.04 |
|    boxing1     | 0.56 | +0.04  | +0.02  | +0.00  | +0.02  | +0.11 | -0.06 | -0.06 | +0.04 | -0.06 | -0.06 | -0.06 |
|    boxing2     | 0.57 | +0.09  | +0.03  | +0.09  | +0.11  | +0.09 | -0.02 | +0.02 | +0.01 | +0.02 | +0.09 | +0.15 |
|     colic      | 0.80 | -0.01  | -0.01  | -0.01  | -0.01  | -0.06 | -0.30 | -0.30 | -0.01 | -0.14 | -0.13 | -0.07 |
|  creditscore   | 0.53 | +0.10  | +0.46  | +0.11  | +0.08  | +0.12 | +0.36 | +0.33 | +0.08 | -0.03 | +0.46 | +0.45 |
|    heart_h     | 0.79 | -0.01  | -0.00  | -0.01  | -0.00  | -0.06 | -0.29 | -0.29 | -0.01 | -0.04 | -0.05 | -0.28 |
|   hepatitis    | 0.72 | +0.01  | -0.01  | +0.01  | +0.01  | -0.14 | -0.22 | -0.22 | -0.06 | -0.22 | -0.19 | -0.16 |
| house_votes_84 | 0.94 | +0.02  | +0.02  | +0.02  | +0.01  | -0.02 | -0.19 | -0.03 | +0.01 | -0.04 | -0.03 | +0.02 |
|     irish      | 0.98 | -0.00  | -0.00  | -0.01  | -0.01  | -0.02 | -0.28 | -0.28 | -0.06 | -0.13 | -0.12 | +0.01 |
|  japansolvent  | 0.72 | +0.13  | +0.11  | +0.08  | +0.16  | +0.07 | -0.22 | -0.24 | +0.04 | +0.07 | +0.05 | +0.06 |
|     labor      | 0.89 | -0.00  | -0.06  | -0.05  | -0.06  | -0.09 | -0.13 | -0.16 | -0.08 | -0.19 | -0.08 | -0.19 |
|    penguins    | 0.99 | -0.04  | -0.04  | -0.01  | -0.04  | -0.03 | -0.34 | -0.40 | -0.34 | -0.28 | -0.09 | -0.04 |
|   posttrauma   | 0.58 | +0.00  | +0.02  | +0.03  | +0.01  | -0.06 | -0.08 | -0.08 | +0.07 | -0.08 | -0.07 | -0.01 |
|      vote      | 0.51 | -0.01  | -0.00  | +0.00  | -0.03  | -0.01 | -0.01 | -0.01 | +0.00 | -0.01 | -0.02 | -0.01 |
|    --------    | ---- | -----  | -----  | -----  | -----  | ----- | ----- | ----- | ----- | ----- | ----- | ----- |
|     Median     | 0.72 | +0.06  | +0.07  | +0.06  | +0.07  | +0.01 | -0.22 | -0.22 | -0.06 | -0.07 | +0.01 | -0.00 |
+----------------+------+--------+--------+--------+--------+-------+-------+-------+-------+-------+-------+-------+
