+-------------------------------------------------------------------------------------------------------------------+
|                                            Embedding Results (F1-Score)                                           |
+----------------+------+--------+--------+--------+--------+-------+-------+-------+-------+-------+-------+-------+
|    Dataset     |  no  | claude | gemini | gpt-4o | gpt-o1 | rt-us | et-ss | rf-ss | xg-ss | et-sv | rf-sv | xg-sv |
+----------------+------+--------+--------+--------+--------+-------+-------+-------+-------+-------+-------+-------+
|      acl       | 0.38 | +0.11  | +0.03  | +0.20  | +0.28  | +0.20 |  0.00 | -0.01 | +0.02 | +0.18 | +0.18 | +0.28 |
|   bankruptcy   | 0.80 | +0.06  | +0.08  | +0.08  | +0.02  | +0.01 | +0.01 | +0.01 | +0.07 |  0.00 | -0.03 | -0.06 |
|    boxing1     | 0.40 | +0.17  | +0.18  | +0.16  | +0.18  | +0.28 |  0.00 |  0.00 | +0.16 |  0.00 |  0.00 | -0.01 |
|    boxing2     | 0.62 | +0.05  | -0.01  | +0.05  | +0.07  | +0.06 | -0.01 | -0.01 | -0.06 | -0.07 | +0.03 | +0.12 |
|     colic      | 0.81 | +0.01  | +0.00  | +0.02  | +0.02  | -0.05 | -0.43 | -0.43 | +0.03 | -0.13 | -0.14 | -0.06 |
|  creditscore   | 0.43 | +0.22  | +0.57  | +0.22  | +0.19  | +0.21 | +0.46 | +0.45 | +0.04 | +0.01 | +0.57 | +0.54 |
|    heart_h     | 0.80 | -0.01  | -0.01  | -0.05  | -0.03  | -0.03 | -0.41 | -0.41 | -0.02 | -0.02 | -0.06 | -0.38 |
|   hepatitis    | 0.75 | +0.02  | +0.02  | +0.02  | +0.02  | -0.21 | -0.31 | -0.31 | -0.12 | -0.31 | -0.31 | -0.07 |
| house_votes_84 | 0.95 | +0.01  | +0.02  | +0.01  | +0.02  | -0.02 | -0.22 | -0.04 |  0.00 | -0.04 | -0.05 | +0.02 |
|     irish      | 0.99 | -0.01  | -0.01  | -0.01  | -0.01  | -0.02 | -0.29 | -0.28 | -0.06 | -0.12 | -0.10 | +0.01 |
|  japansolvent  | 0.48 | +0.35  | +0.35  | +0.35  | +0.41  | +0.30 | -0.02 | -0.09 | +0.23 | +0.24 | +0.29 | +0.29 |
|     labor      | 0.83 | +0.05  | +0.10  | +0.01  | +0.04  |  0.00 | -0.15 | -0.15 | +0.05 | -0.06 | -0.03 | -0.20 |
|    penguins    | 1.00 | -0.04  | -0.04  | -0.01  | -0.03  | -0.03 | -0.41 | -0.46 | -0.40 | -0.28 | -0.08 | -0.04 |
|   posttrauma   | 0.55 | +0.07  | +0.10  | +0.07  | +0.09  | -0.03 | -0.14 | -0.14 | +0.09 | -0.12 | -0.14 |  0.00 |
|      vote      | 0.43 | -0.02  | +0.01  | +0.02  | -0.03  | -0.01 | -0.04 | -0.05 | +0.05 | -0.04 | -0.03 | -0.03 |
|    --------    | ---- | -----  | -----  | -----  | -----  | ----- | ----- | ----- | ----- | ----- | ----- | ----- |
|     Median     | 0.72 | +0.04  | +0.07  | +0.02  | +0.04  | +0.00 | -0.25 | -0.20 | -0.05 | -0.07 | -0.00 | +0.01 |
+----------------+------+--------+--------+--------+--------+-------+-------+-------+-------+-------+-------+-------+
