+----------------------------------------------------+
|            Induction Results (Accuracy)            |
+----------------+--------+--------+--------+--------+
|    Dataset     | claude | gemini | gpt-4o | gpt-o1 |
+----------------+--------+--------+--------+--------+
|      acl       |  0.55  |  0.52  |  0.69  |  0.49  |
|   bankruptcy   |  0.67  |  0.75  |  0.86  |  0.87  |
|    boxing1     |  0.54  |  0.52  |  0.56  |  0.60  |
|    boxing2     |  0.56  |  0.50  |  0.63  |  0.63  |
|     colic      |  0.59  |  0.54  |  0.62  |  0.64  |
|  creditscore   |  0.57  |  0.67  |  0.56  |  0.57  |
|    heart_h     |  0.35  |  0.67  |  0.50  |  0.50  |
|   hepatitis    |  0.49  |  0.57  |  0.58  |  0.58  |
| house_votes_84 |  0.10  |  0.56  |  0.47  |  0.88  |
|     irish      |  0.62  |  0.82  |  0.55  |  0.81  |
|  japansolvent  |  0.80  |  0.58  |  0.71  |  0.72  |
|     labor      |  0.66  |  0.77  |  0.50  |  0.74  |
|    penguins    |  0.92  |  0.85  |  0.86  |  0.88  |
|   posttrauma   |  0.67  |  0.61  |  0.64  |  0.63  |
|      vote      |  0.50  |  0.52  |  0.52  |  0.51  |
|    --------    |  ----  |  ----  |  ----  |  ----  |
|     Median     |  0.57  |  0.58  |  0.58  |  0.63  |
+----------------+--------+--------+--------+--------+
