+-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
|                                                                            Induction Results (F1-score)                                                                           |
+----------------+-----------+---------------+------+--------+-----------------+--------+------------+--------+--------+--------------+--------------+--------------+------+--------+
|    Dataset     | autogluon | autoprognosis | bss  | claude | deepseek-r1:70b | gemini | gemma3:27b | gpt-4o | gpt-o1 | gpt-oss:120b | llama3.1:70b | llama3.3:70b | oct  | tabpfn |
+----------------+-----------+---------------+------+--------+-----------------+--------+------------+--------+--------+--------------+--------------+--------------+------+--------+
|      acl       |    0.33   |      0.44     | 0.49 |  nan   |       nan       |  nan   |    nan     |  nan   |  nan   |     nan      |     nan      |     nan      | 0.49 |  0.49  |
|   bankruptcy   |    0.87   |      0.87     | 0.87 |  0.71  |       0.69      |  0.61  |    0.64    |  0.72  |  0.65  |     0.70     |     0.65     |     0.76     | 0.82 |  0.87  |
|    boxing1     |    0.70   |      0.72     | 0.54 |  0.47  |       0.39      |  0.46  |    0.42    |  0.49  |  0.39  |     0.49     |     0.47     |     0.37     | 0.43 |  0.68  |
|    boxing2     |    0.68   |      0.78     | 0.70 |  0.43  |       0.52      |  0.36  |    0.47    |  0.43  |  0.49  |     0.52     |     0.33     |     0.47     | 0.70 |  0.61  |
|     colic      |    0.82   |      0.83     | 0.81 |  0.49  |       0.55      |  0.54  |    0.41    |  0.54  |  0.61  |     0.62     |     0.51     |     0.57     | 0.82 |  0.80  |
|  creditscore   |    0.96   |      1.00     | 0.65 |  0.52  |       0.47      |  0.39  |    0.55    |  0.35  |  0.33  |     0.30     |     0.47     |     0.48     | 1.00 |  0.90  |
|    heart_h     |    0.79   |      0.80     | 0.80 |  0.23  |       0.49      |  0.25  |    0.27    |  0.26  |  0.47  |     0.38     |     0.27     |     0.27     | 0.78 |  0.77  |
|   hepatitis    |    0.80   |      0.71     | 0.68 |  0.56  |       0.22      |  0.58  |    0.30    |  0.48  |  0.52  |     0.17     |     0.23     |     0.27     | 0.61 |  0.68  |
| house_votes_84 |    0.96   |      0.95     | 0.94 |  0.26  |       0.29      |  0.18  |    0.51    |  0.41  |  0.38  |     0.20     |     0.15     |     0.25     | 0.94 |  0.95  |
|     irish      |    0.97   |      0.99     | 0.74 |  0.49  |       0.63      |  0.81  |    0.44    |  0.35  |  0.80  |     0.43     |     0.55     |     0.66     | 0.99 |  0.98  |
|  japansolvent  |    0.83   |      0.71     | 0.77 |  0.83  |       0.50      |  0.80  |    0.78    |  0.78  |  0.39  |     0.66     |     0.50     |     0.33     | 0.67 |  0.88  |
|     labor      |    0.88   |      0.82     | 0.79 |  0.63  |       0.52      |  0.41  |    0.27    |  0.39  |  0.63  |     0.27     |     0.26     |     0.26     | 0.77 |  0.89  |
|    penguins    |    1.00   |      1.00     | nan  |  0.94  |       0.54      |  0.50  |    0.31    |  0.65  |  0.92  |     0.53     |     0.16     |     0.36     | 0.97 |  0.99  |
|   posttrauma   |    0.46   |      0.63     | 0.59 |  nan   |       nan       |  nan   |    nan     |  nan   |  nan   |     nan      |     nan      |     nan      | 0.45 |  0.76  |
|      vote      |    0.57   |      0.57     | 0.42 |  0.39  |       0.28      |  0.33  |    0.33    |  0.39  |  0.39  |     0.41     |     0.28     |     0.31     | 0.45 |  0.41  |
|    --------    |    ----   |      ----     | ---- |  ----  |       ----      |  ----  |    ----    |  ----  |  ----  |     ----     |     ----     |     ----     | ---- |  ----  |
|     Median     |    0.80   |      0.81     | 0.74 |  0.49  |       0.45      |  0.47  |    0.41    |  0.43  |  0.50  |     0.44     |     0.35     |     0.39     | 0.77 |  0.80  |
+----------------+-----------+---------------+------+--------+-----------------+--------+------------+--------+--------+--------------+--------------+--------------+------+--------+
